PN ID	GSC-II ID	RA	DEC	l	b	Epoch	dist	PA	Class
He 2-250	S222130291181	17:34:54.710	-26:35:56.92	0.727	3.248	1996.678	0.78	148.97	PHOT
He 2-26	S1130020172	09:19:27.476	-59:12:00.39	278.618	-6.741	1996.997	7.88	154.36	ST
He 2-262	S222133343322	17:40:12.814	-26:44:21.37	1.242	2.172	1996.678	46.43	89.55	PHOT
He 2-28	S13020011503	09:22:06.825	-54:09:38.60	275.283	-2.935	1991.118	8.82	205.03	PHOT
He 2-29	S1111002754	09:24:45.834	-54:36:15.45	275.870	-2.980	1991.118	10.26	244.31	PHOT
He 2-306	S22200018102	17:56:33.706	-43:03:18.90	348.887	-9.037	1996.680	5.97	288.65	ST
He 2-32		09:30:54.897	-57:36:52.44	278.578	-4.559	0.000	9.87	122.81	GEO
He 2-34	S130231173898	09:41:13.997	-49:22:47.18	274.191	2.577	1991.115	36.41	278.49	PHOT
He 2-35	S1302330536	09:41:37.504	-49:57:58.71	274.624	2.176	1991.115	17.44	322.36	ST
He 2-36	S1111322376	09:43:25.538	-57:16:55.44	279.609	-3.186	1998.214	5.80	138.71	PHOT
He 2-37	S1302333378	09:47:24.987	-48:58:11.96	274.692	3.542	1998.460	10.12	225.23	GEO
He 2-39	S111113113117	10:03:49.164	-60:43:48.26	283.820	-4.239	1997.000	4.78	70.93	PHOT
He 2-406	S30122134487	18:31:52.845	-24:46:16.55	8.649	-7.018	1996.697	7.23	98.31	PHOT
He 2-41	S113210014727	10:07:23.611	-63:54:30.06	286.045	-6.555	1997.107	3.06	220.40	PHOT
He 2-418	S30133113941	18:44:14.597	-30:19:36.78	4.778	-11.895	1996.688	71.75	347.63	PHOT
He 2-428	N023330232766	19:13:05.239	15:46:39.80	49.411	2.476	1990.628	2.71	48.62	PHOT
He 2-429	N023333116429	19:13:38.422	14:59:19.21	48.773	1.993	1992.430	12.01	331.78	ST
He 2-430	N023330037705	19:14:04.197	17:31:32.92	51.072	3.075	1991.530	7.24	83.82	ST
He 2-432	N02303219606	19:23:24.821	21:08:00.50	55.297	2.806	1987.655	0.29	268.83	ST
He 2-434	S310223014	19:33:49.420	-74:32:58.66	320.336	-28.888	1991.748	6.00	88.46	PHOT
He 2-436	S3322302179	19:32:06.701	-34:12:57.43	4.873	-22.726	1993.299	25.15	17.18	ST
He 2-437	N0222032105176	19:32:57.657	26:52:43.35	61.397	3.618	1986.669	1.47	315.35	PHOT
He 2-440	N022200358458	19:38:08.403	25:15:40.98	60.546	1.817	1986.669	0.59	262.19	ST
He 2-442	N030100288686	19:39:43.376	26:29:33.05	61.794	2.111	1996.528	25.17	5.63	ST
He 2-447	N021100144946	19:45:22.164	21:20:04.03	57.956	-1.570	1986.672	0.14	202.98	ST
He 2-459	N033233079573	20:13:57.898	29:33:55.94	68.352	-2.738	1991.606	0.24	284.10	ST
He 2-47	S1113002119	10:23:09.143	-60:32:42.21	285.670	-2.743	1997.000	7.55	354.78	ST
He 2-48		10:31:31.997	-53:33:30.80	282.980	3.805	0.000	5.61	48.72	GEO
He 2-5	S1321233879	07:47:20.022	-51:15:03.42	264.412	-12.774	1990.068	9.18	144.50	ST
